Year,Sport,Country,Medal Rank,Medal
1924,Bobsled,Switzerland,1,gold
1924,Bobsled,Britain,2,silver
1924,Bobsled,Belgium,3,bronze
1924,Cross-Country Skiing,Norway,1,gold
1924,Cross-Country Skiing,Norway,2,silver
1924,Cross-Country Skiing,Finland,3,bronze
1924,Cross-Country Skiing,Norway,1,gold
1924,Cross-Country Skiing,Norway,2,silver
1924,Cross-Country Skiing,Norway,3,bronze
1924,Curling,Britain,1,gold
1924,Curling,Sweden,2,silver
1924,Curling,France,3,bronze
1924,Figure Skating,Sweden,1,gold
1924,Figure Skating,Austria,2,silver
1924,Figure Skating,Switzerland,3,bronze
1924,Figure Skating,Austria,1,gold
1924,Figure Skating,Finland,2,silver
1924,Figure Skating,France,3,bronze
1924,Figure Skating,Austria,1,gold
1924,Figure Skating,United States,2,silver
1924,Figure Skating,Britain,3,bronze
1924,Ice Hockey,Canada,1,gold
1924,Ice Hockey,United States,2,silver
1924,Ice Hockey,Britain,3,bronze
1924,Biathlon,Switzerland,1,gold
1924,Biathlon,Finland,2,silver
1924,Biathlon,France,3,bronze
1924,Nordic Combined,Norway,1,gold
1924,Nordic Combined,Norway,2,silver
1924,Nordic Combined,Norway,3,bronze
1924,Ski Jumping,Norway,1,gold
1924,Ski Jumping,Norway,2,silver
1924,Ski Jumping,United States,3,bronze
1924,Speedskating,United States,1,gold
1924,Speedskating,Norway,2,silver
1924,Speedskating,Norway,3,bronze
1924,Speedskating,Finland,3,bronze
1924,Speedskating,Finland,1,gold
1924,Speedskating,Norway,2,silver
1924,Speedskating,Norway,3,bronze
1924,Speedskating,Finland,1,gold
1924,Speedskating,Finland,2,silver
1924,Speedskating,Norway,3,bronze
1924,Speedskating,Finland,1,gold
1924,Speedskating,Finland,2,silver
1924,Speedskating,Norway,3,bronze
1924,Speedskating,Finland,1,gold
1924,Speedskating,Norway,2,silver
1924,Speedskating,Finland,3,bronze
1928,Bobsled,United States,1,gold
1928,Bobsled,United States,2,silver
1928,Bobsled,Germany,3,bronze
1928,Cross-Country Skiing,Norway,1,gold
1928,Cross-Country Skiing,Norway,2,silver
1928,Cross-Country Skiing,Norway,3,bronze
1928,Cross-Country Skiing,Sweden,1,gold
1928,Cross-Country Skiing,Sweden,2,silver
1928,Cross-Country Skiing,Sweden,3,bronze
1928,Figure Skating,Sweden,1,gold
1928,Figure Skating,Austria,2,silver
1928,Figure Skating,Belgium,3,bronze
1928,Figure Skating,France,1,gold
1928,Figure Skating,Austria,2,silver
1928,Figure Skating,Austria,3,bronze
1928,Figure Skating,Norway,1,gold
1928,Figure Skating,Austria,2,silver
1928,Figure Skating,United States,3,bronze
1928,Ice Hockey,Canada,1,gold
1928,Ice Hockey,Sweden,2,silver
1928,Ice Hockey,Switzerland,3,bronze
1928,Nordic Combined,Norway,1,gold
1928,Nordic Combined,Norway,2,silver
1928,Nordic Combined,Norway,3,bronze
1928,Skeleton,United States,1,gold
1928,Skeleton,United States,2,silver
1928,Skeleton,Britain,3,bronze
1928,Ski Jumping,Norway,1,gold
1928,Ski Jumping,Norway,2,silver
1928,Ski Jumping,Czechoslovakia,3,bronze
1928,Speedskating,Norway,1,gold
1928,Speedskating,Finland,1,gold
1928,Speedskating,United States,3,bronze
1928,Speedskating,Finland,3,bronze
1928,Speedskating,Norway,3,bronze
1928,Speedskating,Finland,1,gold
1928,Speedskating,Norway,2,silver
1928,Speedskating,Norway,3,bronze
1928,Speedskating,Norway,1,gold
1928,Speedskating,Finland,2,silver
1928,Speedskating,Norway,3,bronze
1932,Bobsled,United States,1,gold
1932,Bobsled,Switzerland,2,silver
1932,Bobsled,United States,3,bronze
1932,Bobsled,United States,1,gold
1932,Bobsled,United States,2,silver
1932,Bobsled,Germany,3,bronze
1932,Cross-Country Skiing,Sweden,1,gold
1932,Cross-Country Skiing,Sweden,2,silver
1932,Cross-Country Skiing,Finland,3,bronze
1932,Cross-Country Skiing,Finland,1,gold
1932,Cross-Country Skiing,Finland,2,silver
1932,Cross-Country Skiing,Norway,3,bronze
1932,Figure Skating,Austria,1,gold
1932,Figure Skating,Sweden,2,silver
1932,Figure Skating,Canada,3,bronze
1932,Figure Skating,France,1,gold
1932,Figure Skating,United States,2,silver
1932,Figure Skating,Hungary,3,bronze
1932,Figure Skating,Norway,1,gold
1932,Figure Skating,Austria,2,silver
1932,Figure Skating,United States,3,bronze
1932,Ice Hockey,Canada,1,gold
1932,Ice Hockey,United States,2,silver
1932,Ice Hockey,Germany,3,bronze
1932,Nordic Combined,Norway,1,gold
1932,Nordic Combined,Norway,2,silver
1932,Nordic Combined,Norway,3,bronze
1932,Ski Jumping,Norway,1,gold
1932,Ski Jumping,Norway,2,silver
1932,Ski Jumping,Norway,3,bronze
1932,Speedskating,United States,1,gold
1932,Speedskating,Norway,2,silver
1932,Speedskating,Canada,3,bronze
1932,Speedskating,United States,1,gold
1932,Speedskating,Canada,2,silver
1932,Speedskating,Canada,3,bronze
1932,Speedskating,United States,1,gold
1932,Speedskating,United States,2,silver
1932,Speedskating,Canada,3,bronze
1932,Speedskating,United States,1,gold
1932,Speedskating,Norway,2,silver
1932,Speedskating,Canada,3,bronze
1936,Alpine Skiing,Germany,1,gold
1936,Alpine Skiing,Germany,2,silver
1936,Alpine Skiing,France,3,bronze
1936,Alpine Skiing,Germany,1,gold
1936,Alpine Skiing,Germany,2,silver
1936,Alpine Skiing,Norway,3,bronze
1936,Bobsled,United States,1,gold
1936,Bobsled,Switzerland,2,silver
1936,Bobsled,United States,3,bronze
1936,Bobsled,Switzerland,1,gold
1936,Bobsled,Switzerland,2,silver
1936,Bobsled,Britain,3,bronze
1936,Cross-Country Skiing,Sweden,1,gold
1936,Cross-Country Skiing,Norway,2,silver
1936,Cross-Country Skiing,Finland,3,bronze
1936,Cross-Country Skiing,Sweden,1,gold
1936,Cross-Country Skiing,Sweden,2,silver
1936,Cross-Country Skiing,Sweden,3,bronze
